Tool,Category,License,Task,Vendor,Homepage,Price,PriceSource,Performance,Accessibility,Integration
Gaussian,Model,Paid,Task1 QC/DFT,"Gaussian, Inc.",https://gaussian.com/,Quote/Contact required,https://gaussian.com/contact/,CPU parallel; high accuracy; no native GPU,Commercial license; quotes,log/FChk→pymatgen; POSCAR via conversion
CASTEP,Model,Paid,Task1 DFT,BIOVIA Dassault Systèmes,https://www.3ds.com/products/simulia/materials-studio/,"$5k–$25k (module-dependent, indicative)",fallback,Plane-wave MPI; good HPC scaling,Commercial suite (Materials Studio),CIF/CASTEP↔POSCAR via tools
FHI-aims (commercial),Model,Paid,Task1 all-electron DFT,FHI-aims Team,https://fhi-aims.org/,$5k–$20k+ (indicative),fallback,Excellent hybrid/OpenMP; HPC,Academic/commercial licenses,ASE-native; CIF/cube
QuantumATK,Model,Paid,Task1 DFT + device,Synopsys,https://www.synopsys.com/silicon/quantumatk.html,Quote/Contact required,https://www.synopsys.com/silicon/quantumatk.html,Python API; device sims; some GPU,Commercial; quote-only,CIF/XSF; Python API
Materials Studio,Model,Paid,Task1 suite,BIOVIA Dassault Systèmes,https://www.3ds.com/products/simulia/materials-studio/,$20k–$60k+ (indicative),fallback,GUI-first; CASTEP HPC,Commercial suite,Exports CIF/PDB; scripts→POSCAR
Schrödinger Jaguar/QSite,Model,Paid,Task1 QC/DFT,Schrödinger,https://www.schrodinger.com/products/jaguar,Quote/Contact required,https://www.schrodinger.com/products/jaguar,GPU-accelerated methods; high accuracy,Per-seat/tokens,Maestro I/O→CIF/POSCAR via tools
Q-Chem,Model,Paid,Task1 QC/DFT,"Q-Chem, Inc.",https://www.q-chem.com/,$5k–$15k (indicative),fallback,CPU parallel,Commercial; academic pricing,molden/FChk→ASE
Matlantis,Model,Paid,Task1 AI surrogate,Preferred Networks,https://matlantis.com/,Quote/Contact required,https://matlantis.com/,Very fast inference (cloud),Subscription; quote-only,REST/Python API (JSON)
TeraChem,Model,Paid,Task1 QC GPU,PetaChem,https://www.petachem.com/terachem.html,$10k–$30k+ (indicative),fallback,Strong GPU speedups,Commercial,XYZ/PDB I/O; ASE
Spearmint (commercial support),Model,Paid,Task2 BO/optimizer,(Commercial support),https://github.com/HIPS/Spearmint,"$5k–$20k/yr (indicative, support)",fallback,Lightweight CPU,Commercial support,Integrates PyTorch/TF; JSON I/O
PennyLane Enterprise,Model,Paid,Task1/Verification,Xanadu,https://pennylane.ai/enterprise/,$5k–$20k/yr (indicative),fallback,QC backends; small systems,Subscription,Python API; JSON
Aitomia,Model,Paid,Task1 black-box,Aitomia,https://aitomia.com/,Quote-only (undisclosed),fallback,Unknown internals,Enterprise only,Closed API; vendor consult
VASP (academic) ,Model,Open,Task1 DFT,VASPKIT/VASP Team,https://www.vasp.at/,Academic license fee (not OSS),fallback,MPI; no official GPU,Academic source-available,POSCAR/OUTCAR native
Quantum ESPRESSO,Model,Open,Task1 DFT,QE Team,https://www.quantum-espresso.org/,Free,fallback,MPI+OpenMP; some GPU,GPLv2,CIF/POSCAR via pw tools; pymatgen
ORCA,Model,Open,Task1 QC/DFT,ORCA Team,https://orcaforum.kofo.mpg.de/,Free academic,fallback,Good CPU parallel,Free for academics,molden→ASE
Psi4,Model,Open,Task1 QC/DFT,Psi4 Team,https://psicode.org/,Free,fallback,CPU parallel,Apache 2.0,QCSchema/ASE
CP2K,Model,Open,Task1 DFT/MD,CP2K Team,https://www.cp2k.org/,Free,fallback,Excellent mixed GPW; GPU,GPL,ASE-native
ABINIT,Model,Open,Task1 DFT,ABINIT Team,https://www.abinit.org/,Free,fallback,MPI/OpenMP; some GPU,GPL,NetCDF→pymatgen
SIESTA,Model,Open,Task1 DFT,SIESTA Team,https://siesta-project.org/,Free,fallback,Localized basis; low cost,LGPL,XSF/STRUCT; ASE
NWChem,Model,Open,Task1 QC/DFT,NWChem Team,https://nwchemgit.github.io/,Free,fallback,MPI/OpenMP,ECL 2.0,Various text I/O; ASE
JDFTx,Model,Open,Task1 DFT,JDFTx Team,https://jdftx.org/,Free,fallback,CPU+GPU (OpenCL/CUDA),GPL-like,cube outputs; pymatgen
BigDFT,Model,Open,Task1 DFT,BigDFT Team,https://bigdft.org/,Free,fallback,Wavelets; GPU builds,WTFPL/GPL,XSF/cube; ASE
CP2K + DeePMD-kit,Model,Open,Task1/2 ML potentials,CP2K/DeePMD,https://www.cp2k.org/,Quote/Contact required,https://github.com/deepmodeling/deepmd-kit,GPU acceleration; fast inference,LGPL/BSD,LAMMPS/CP2K integration
Qiskit Nature,Model,Open,Task1 exploratory QC,IBM/OSS,https://qiskit.org/ecosystem/nature/,Free,fallback,QC simulators; small systems,Apache 2.0,Python JSON results
scikit-learn,Model,Open,Task2 ML,OSS,https://scikit-learn.org/,Quote/Contact required,https://scikit-learn.org/stable/,CPU/GPU via add-ons,BSD,Pickle/ONNX; TF via skl2onnx
TensorFlow,Model,Open,Task2 ML,Google/OSS,https://www.tensorflow.org/,Free,fallback,GPU/TPU,Apache 2.0,SavedModel; TF Serving
PyTorch,Model,Open,Task2 ML,Meta/OSS,https://pytorch.org/,Free,fallback,GPU/CPU,BSD,ONNX; TF via ONNX→TF
Optuna,Model,Open,Task2 BO,OSS,https://optuna.org/,Free,fallback,Light CPU,MIT,JSON/CSV studies
ANSYS (Mech/Fluent/AM),Simulation,Paid,Task3-4 FEA/CFD/AM,ANSYS,https://www.ansys.com/,"$30k–$100k+/yr (tokens/modules, indicative)",fallback,Excellent HPC; GPUs in some solvers,Tokens/modules; quote-only,STEP/Parasolid in; VTK/CSV out
COMSOL Multiphysics,Simulation,Paid,Task3-4 multiphysics,COMSOL,https://www.comsol.com/,$20k–$80k+ (modules; indicative),fallback,Param sweeps; limited distributed HPC,Module-based pricing,STEP/CAD; VTK/CSV
Abaqus,Simulation,Paid,Task3-4 FEA,Dassault Systèmes SIMULIA,https://www.3ds.com/products/simulia/abaqus/,$25k–$80k+ (indicative),fallback,Strong implicit; some GPU,Tokens/modules; quote-only,STEP/INP; ODB→CSV/VTK
