Tool,Category,License,Task,Vendor,Homepage,Price,PriceSource,Performance,Accessibility,Integration
Gaussian,Model,Paid,Task1 QC/DFT,"Gaussian, Inc.",https://gaussian.com/,Quote/Contact required,https://gaussian.com/contact/,CPU parallel; high accuracy; no native GPU,Commercial license; quotes,log/FChk→pymatgen; POSCAR via conversion
CASTEP,Model,Paid,Task1 DFT,BIOVIA Dassault Systèmes,https://www.3ds.com/products/simulia/materials-studio/,"$5k–$25k (module-dependent, indicative)",fallback,Plane-wave MPI; good HPC scaling,Commercial suite (Materials Studio),CIF/CASTEP↔POSCAR via tools
FHI-aims (commercial),Model,Paid,Task1 all-electron DFT,FHI-aims Team,https://fhi-aims.org/,$5k–$20k+ (indicative),fallback,Excellent hybrid/OpenMP; HPC,Academic/commercial licenses,ASE-native; CIF/cube
QuantumATK,Model,Paid,Task1 DFT + device,Synopsys,https://www.synopsys.com/silicon/quantumatk.html,Quote/Contact required,https://www.synopsys.com/silicon/quantumatk.html,Python API; device sims; some GPU,Commercial; quote-only,CIF/XSF; Python API
Materials Studio,Model,Paid,Task1 suite,BIOVIA Dassault Systèmes,https://www.3ds.com/products/simulia/materials-studio/,$20k–$60k+ (indicative),fallback,GUI-first; CASTEP HPC,Commercial suite,Exports CIF/PDB; scripts→POSCAR
Schrödinger Jaguar/QSite,Model,Paid,Task1 QC/DFT,Schrödinger,https://www.schrodinger.com/products/jaguar,Quote/Contact required,https://www.schrodinger.com/products/jaguar,GPU-accelerated methods; high accuracy,Per-seat/tokens,Maestro I/O→CIF/POSCAR via tools
Q-Chem,Model,Paid,Task1 QC/DFT,"Q-Chem, Inc.",https://www.q-chem.com/,$5k–$15k (indicative),fallback,CPU parallel,Commercial; academic pricing,molden/FChk→ASE
Matlantis,Model,Paid,Task1 AI surrogate,Preferred Networks,https://matlantis.com/,Quote/Contact required,https://matlantis.com/,Very fast inference (cloud),Subscription; quote-only,REST/Python API (JSON)
TeraChem,Model,Paid,Task1 QC GPU,PetaChem,https://www.petachem.com/terachem.html,$10k–$30k+ (indicative),fallback,Strong GPU speedups,Commercial,XYZ/PDB I/O; ASE
Spearmint (commercial support),Model,Paid,Task2 BO/optimizer,(Commercial support),https://github.com/HIPS/Spearmint,"$5k–$20k/yr (indicative, support)",fallback,Lightweight CPU,Commercial support,Integrates PyTorch/TF; JSON I/O
PennyLane Enterprise,Model,Paid,Task1/Verification,Xanadu,https://pennylane.ai/enterprise/,$5k–$20k/yr (indicative),fallback,QC backends; small systems,Subscription,Python API; JSON
Aitomia,Model,Paid,Task1 black-box,Aitomia,https://aitomia.com/,Quote-only (undisclosed),fallback,Unknown internals,Enterprise only,Closed API; vendor consultVASP MEDEA,Model,Paid,Task1 DFT + properties,Materials Design Inc,https://www.materialsdesign.com/modules-vasp-medea,$5500/license (perpetual),fallback,MPI HPC; band structure; optical properties,Commercial per-site license,POSCAR/OUTCAR; MEDEA GUI integration
IBM Qiskit Supercomputer,Model,Paid,Task1 Quantum hardware,IBM,https://quantum.ibm.com/,$48–96/minute premium hardware,fallback,Real quantum processors,Paid subscription,Python SDK; QASM format
Google Quantum Runtime,Model,Paid,Task1 Quantum hardware,Google,https://quantumai.google/,$variable (typically $5k–$15k/year),fallback,Google Sycamore hardware,Paid cloud access,Python SDK; QASM format
Amazon Braket Hardware,Model,Paid,Task1 Quantum hardware,Amazon,https://aws.amazon.com/braket/,$4.50/hour or $0.30–$1.00 per task,fallback,Multi-vendor on-demand,Paid hourly/per-task,Python SDK; OpenQASM
